"trans_id","lang","translation"
"千町","ja","千町"
"千町","ja-Hrkt","チマチ"
"千石橋","en","Sengoku Bashi"
"千石橋","ja","千石橋"
"千石橋","ja-Hrkt","センゴクバシ"
"千金甲橋","en","Segonko Bashi"
"千金甲橋","ja","千金甲橋"
"千金甲橋","ja-Hrkt","セゴンコウバシ"
"半河内","en","Hangawachi"
"半河内","ja","半河内"
"半河内","ja-Hrkt","ハンガワチ"
"南ヶ丘小前","en","Minamigaokasho Mae"
"南ヶ丘小前","ja","南ヶ丘小前"
"南ヶ丘小前","ja-Hrkt","ミナミガオカショウマエ"
"南ヶ丘小学校前","en","Minamigaoka Shogakko Mae"
"南ヶ丘小学校前","ja","南ヶ丘小学校前"
"南ヶ丘小学校前","ja-Hrkt","ミナミガオカショウガッコウマエ"
"南中入口","en","Minamichu Iriguchi"
"南中入口","ja","南中入口"
"南中入口","ja-Hrkt","ミナミチュウイリグチ"
"南入口","en","Minami Iriguchi"
"南入口","ja","南入口"
"南入口","ja-Hrkt","ミナミイリグチ"
"南北線入口","en","Nanbokusen Iriguchi"
"南北線入口","ja","南北線入口"
"南北線入口","ja-Hrkt","ナンボクセンイリグチ"
"南区役所","en","Minamikuyakusho"
"南区役所","ja","南区役所"
"南区役所","ja-Hrkt","ミナミクヤクショ"
"南区役所前","en","Minamikuyakusho Mae"
"南区役所前","ja","南区役所前"
"南区役所前","ja-Hrkt","ミナミクヤクショマエ"
"南原（熊本市北区）","en","Minamibaru"
"南原（熊本市北区）","ja","南原（熊本市北区）"
"南原（熊本市北区）","ja-Hrkt","ミナミバル"
"南原（熊本市東区）","en","Nanbaru"
"南原（熊本市東区）","ja","南原（熊本市東区）"
"南原（熊本市東区）","ja-Hrkt","ナンバラ(ニツセキ)"
"南古保山","en","Minamikoyama"
"南古保山","ja","南古保山"
"南古保山","ja-Hrkt","ミナミコオヤマ"
"南天","en","Nanten"
"南天","ja","南天"
"南天","ja-Hrkt","ナンテン"
"南小国役場前","en","Minamioguni Yakuba Mae"
"南小国役場前","ja","南小国役場前"
"南小国役場前","ja-Hrkt","ミナミオグニヤクバマエ"
"南小学校前","en","Minami Shogakko Mae"
"南小学校前","ja","南小学校前"
"南小学校前","ja-Hrkt","ミナミショウガッコウマエ"
"南山崎（一般道）","en","Minamiyamasaki"
"南山崎（一般道）","ja","南山崎（一般道）"
"南山崎（一般道）","ja-Hrkt","ミナミヤマサキ"
"南山崎（国道）","en","Minamiyamasaki"
"南山崎（国道）","ja","南山崎（国道）"
"南山崎（国道）","ja-Hrkt","ミナミヤマサキ"
"南島","en","Minamijima"
"南島","ja","南島"
"南島","ja-Hrkt","ミナミジマ"
"南平（天草）","en","Minamidaira"
"南平（天草）","ja","南平（天草）"
"南平（天草）","ja-Hrkt","ミナミヒラ"
"南平（熊本市中央区）","en","Minamihira"
"南平（熊本市中央区）","ja","南平（熊本市中央区）"
"南平（熊本市中央区）","ja-Hrkt","ミナミヒラ"
"南方公園前","en","Minakata Koen Mae"
"南方公園前","ja","南方公園前"
"南方公園前","ja-Hrkt","ミナカタコウエンマエ"
"南方（玉名）","en","Minamikata"
"南方（玉名）","ja","南方（玉名）"
"南方（玉名）","ja-Hrkt","ミナミカタ"
"南方（菊陽）","en","Minamikata"
"南方（菊陽）","ja","南方（菊陽）"
"南方（菊陽）","ja-Hrkt","ミナミカタ"
"南本町","en","Minamihonmachi"
"南本町","ja","南本町"
"南本町","ja-Hrkt","ミナミホンマチ"
"南本荘","en","Minamihonjo"
"南本荘","ja","南本荘"
"南本荘","ja-Hrkt","ミナミホンジョウ"
"南柳原","en","Minamiyanaibaru"
"南柳原","ja","南柳原"
"南柳原","ja-Hrkt","ミナミヤナイバル"
"南校前","en","Minamiko Mae"
"南校前","ja","南校前"
"南校前","ja-Hrkt","ミナミコウマエ"
"南海寮前","en","Nankairyo Mae"
"南海寮前","ja","南海寮前"
"南海寮前","ja-Hrkt","ナンカイリョウマエ"
"南灰塚","en","Minamihaizuka"
"南灰塚","ja","南灰塚"
"南灰塚","ja-Hrkt","ミナミハイヅカ"
"南熊本","en","Minamikumamoto"
"南熊本","ja","南熊本"
"南熊本","ja-Hrkt","ミナミクマモト"
"南熊本三丁目","en","Minamikumamoto 3 Chome"
"南熊本三丁目","ja","南熊本三丁目"
"南熊本三丁目","ja-Hrkt","ミナミクマモトサンチョウメ"
"南熊本駅前","en","Minamikumamoto Sta."
"南熊本駅前","ja","南熊本駅前"
"南熊本駅前","ja-Hrkt","ミナミクマモトエキマエ"
"南田尻（国道）","en","Minamitajiri"
"南田尻（国道）","ja","南田尻（国道）"
"南田尻（国道）","ja-Hrkt","ミナミタノシリ"
"南田尻（県道）","en","Minamitanoshiri"
"南田尻（県道）","ja","南田尻（県道）"
"南田尻（県道）","ja-Hrkt","ミナミタノシリ"
"南田（宇城）","en","Minamida"
"南田（宇城）","ja","南田（宇城）"
"南田（宇城）","ja-Hrkt","ミナミダ"
"南田（熊本）","en","Minamida"
"南田（熊本）","ja","南田（熊本）"
"南田（熊本）","ja-Hrkt","ミナミダ"
"南町（人吉）","en","Minamimachi"
"南町（人吉）","ja","南町（人吉）"
"南町（人吉）","ja-Hrkt","ミナミマチ"
"南町（熊本）","en","Minami Machi"
"南町（熊本）","ja","南町（熊本）"
"南町（熊本）","ja-Hrkt","ミナミマチ"
"南福寺","en","Nampukuji"
"南福寺","ja","南福寺"
"南福寺","ja-Hrkt","ナンプクジ"
"南竹崎","en","Minamitakezaki"
"南竹崎","ja","南竹崎"
"南竹崎","ja-Hrkt","ミナミタケザキ"
"南荒尾","en","Minamiarao"
"南荒尾","ja","南荒尾"
"南荒尾","ja-Hrkt","ミナミアラオ"
"南荒尾駅前","en","Minamiarao Sta."
"南荒尾駅前","ja","南荒尾駅前"
"南荒尾駅前","ja-Hrkt","ミナミアラオエキマエ"
"南豊崎","en","Minamitoyozaki"
"南豊崎","ja","南豊崎"
"南豊崎","ja-Hrkt","ミナミトヨザキ"
"南走潟","en","Minamihashirigata"
"南走潟","ja","南走潟"
"南走潟","ja-Hrkt","ミナミハシリガタ"
"南部まちづくりセンター前","en","Nambu Machizukuri Center Mae"
"南部まちづくりセンター前","ja","南部まちづくりセンター前"
"南部まちづくりセンター前","ja-Hrkt","ナンブマチヅクリセンターマエ"
"南部公民館入口","en","Nanbu Kominkan Iriguchi"
"南部公民館入口","ja","南部公民館入口"
"南部公民館入口","ja-Hrkt","ナンブコウミンカンイリグチ"
"南部総合スポーツセンター前","en","Nanbu Sogo Sports Center Mae"
"南部総合スポーツセンター前","ja","南部総合スポーツセンター前"
"南部総合スポーツセンター前","ja-Hrkt","ナンブソウゴウスポーツセンターマエ"
"南郷団地入口","en","Nango Danchi Iriguchi"
"南郷団地入口","ja","南郷団地入口"
"南郷団地入口","ja-Hrkt","ナンゴウダンチイリグチ"
"南野々島","en","Minaminonoshima"
"南野々島","ja","南野々島"
"南野々島","ja-Hrkt","ミナミノノシマ"
"南関ターミナル","en","Nankan Terminal"
"南関ターミナル","ja","南関ターミナル"
"南関ターミナル","ja-Hrkt","ナンカンターミナル"
"南関上町","en","Nankan Kamimachi"
"南関上町","ja","南関上町"
"南関上町","ja-Hrkt","ナンカンカミマチ"
"南関営業所車庫","en","Nankan Eigyosho Shako"
"南関営業所車庫","ja","南関営業所車庫"
"南関営業所車庫","ja-Hrkt","ナンカンエイギョウショシャコ"
"南関町役場","en","Nankanmachi Yakuba"
"南関町役場","ja","南関町役場"
"南関町役場","ja-Hrkt","ナンカンマチヤクバ"
"南関迎町","en","Nankanmukaemachi"
"南関迎町","ja","南関迎町"
"南関迎町","ja-Hrkt","ナンカンムカエマチ"
"南阿蘇中学校前","en","Minamiaso Chugakko Mae"
"南阿蘇中学校前","ja","南阿蘇中学校前"
"南阿蘇中学校前","ja-Hrkt","ミナミアソチュウガッコウマエ"
"南阿蘇村役場","en","Minamiasomura Yakuba"
"南阿蘇村役場","ja","南阿蘇村役場"
"南阿蘇村役場","ja-Hrkt","ミナミアソムラヤクバ"
"南阿蘇西小学校前","en","Minamiasonishi Shogakko Mae"
"南阿蘇西小学校前","ja","南阿蘇西小学校前"
"南阿蘇西小学校前","ja-Hrkt","ミナミアソニシショウガッコウマエ"
"南陽台","en","Nanyodai"
"南陽台","ja","南陽台"
"南陽台","ja-Hrkt","ナンヨウダイ"
"南陽台入口","en","Nanyodai Iriguchi"
"南陽台入口","ja","南陽台入口"
"南陽台入口","ja-Hrkt","ナンヨウダイイリグチ"
"南高江（国道）","en","Minamitakae"
"南高江（国道）","ja","南高江（国道）"
"南高江（国道）","ja-Hrkt","ミナミタカエ(キュウドウ)"
"南高江（旧道）","en","Minamitakae(Kyudo)"
"南高江（旧道）","ja","南高江（旧道）"
"南高江（旧道）","ja-Hrkt","ミナミタカエ"
"南（野釜）","en","Minami"
"南（野釜）","ja","南（野釜）"
"南（野釜）","ja-Hrkt","ミナミ"
"博多バスターミナル（高速）","en","Hakata Bus Terminal(Kosoku)"
"博多バスターミナル（高速）","ja","博多バスターミナル（高速）"
"博多バスターミナル（高速）","ja-Hrkt","ハカタバスターミナル(コウソク)"
"博多南駐車場（竹下）","en","Hakata Minami Chushajo"
"博多南駐車場（竹下）","ja","博多南駐車場（竹下）"
"博多南駐車場（竹下）","ja-Hrkt","ハカタミナミチュウシャジョウ"
"博物館旧細川刑部邸前","en","Hakubutsukan Ku Hosokawagyoubutei Mae"
"博物館旧細川刑部邸前","ja","博物館旧細川刑部邸前"
"博物館旧細川刑部邸前","ja-Hrkt","ハクブツカンキュウホソカワギョウブテイマエ"
"厚生会館前","en","Koseikaikan Mae"
"厚生会館前","ja","厚生会館前"
"厚生会館前","ja-Hrkt","コウセイカイカンマエ"
"原入口","en","Hara Iriguchi"
"原入口","ja","原入口"
"原入口","ja-Hrkt","ハルイリグチ"
"原口","en","Haraguchi"
"原口","ja","原口"
"原口","ja-Hrkt","ハラグチ"
"原口公民館","en","Haraguchi Kominkan"
"原口公民館","ja","原口公民館"
"原口公民館","ja-Hrkt","ハラグチコウミンカン"
"原大利","en","Haruori"
"原大利","ja","原大利"
"原大利","ja-Hrkt","ハルオオリ"
"原女木","en","Harameki"
"原女木","ja","原女木"
"原女木","ja-Hrkt","ハラメキ"
"原尻","en","Harujiri"
"原尻","ja","原尻"
"原尻","ja-Hrkt","ハルジリ"
"原水宮の前","en","Haramizumiyanomae"
"原水宮の前","ja","原水宮の前"
"原水宮の前","ja-Hrkt","ハラミズミヤノマエ"
"原水新町","en","Haramizu Shinmachi"
"原水新町","ja","原水新町"
"原水新町","ja-Hrkt","ハラミズシンマチ"
"原水駅前","en","Haramizu Sta."
"原水駅前","ja","原水駅前"
"原水駅前","ja-Hrkt","ハラミズエキマエ"
"原水駅北口","en","Haramizu Sta. Kitaguchi"
"原水駅北口","ja","原水駅北口"
"原水駅北口","ja-Hrkt","ハラミズエキキタグチ"
"原水駅（終点）","en","Haramizuki Sta."
"原水駅（終点）","ja","原水駅（終点）"
"原水駅（終点）","ja-Hrkt","ハラミズエキ"
"原田川","en","Haradago"
"原田川","ja","原田川"
"原田川","ja-Hrkt","ハラダゴウ"
"原眼科横","en","Hara Eye Clinic"
"原眼科横","ja","原眼科横"
"原眼科横","ja-Hrkt","ハラガンカヨコ"
"原部","en","Harabu"
"原部","ja","原部"
"原部","ja-Hrkt","ハラブ"
"友尻","en","Tomojiri"
"友尻","ja","友尻"
"友尻","ja-Hrkt","トモジリ"
"友尻団地前","en","Tomojiri Danchi Mae"
"友尻団地前","ja","友尻団地前"
"友尻団地前","ja-Hrkt","トモジリダンチマエ"
"友愛苑前","en","Yuaien Mae"
"友愛苑前","ja","友愛苑前"
"友愛苑前","ja-Hrkt","ユウアイエンマエ"
"友添（国道）","en","Tomozoe"
"友添（国道）","ja","友添（国道）"
"友添（国道）","ja-Hrkt","トモゾエ"
"友添（市道）","en","Tomozoe"
"友添（市道）","ja","友添（市道）"
"友添（市道）","ja-Hrkt","トモゾエ"
"双児島","en","Futagojima"
"双児島","ja","双児島"
"双児島","ja-Hrkt","フタゴジマ"
"双原","en","Sobara"
"双原","ja","双原"
"双原","ja-Hrkt","ソウバラ"
"取首","en","Torikubi"
"取首","ja","取首"
"取首","ja-Hrkt","トリクビ"
"口の森","en","Kuchinomori"
"口の森","ja","口の森"
"口の森","ja-Hrkt","クチノモリ"
"古保山","en","Koyama"
"古保山","ja","古保山"
"古保山","ja-Hrkt","コオヤマ"
"古城","en","Kojo"
"古城","ja","古城"
"古城","ja-Hrkt","コジョウ"
"古城町（八代）","en","Furushiromachi"
"古城町（八代）","ja","古城町（八代）"
"古城町（八代）","ja-Hrkt","フルシロマチ"
"古城町（宇土）","en","Furushiromachi"
"古城町（宇土）","ja","古城町（宇土）"
"古城町（宇土）","ja-Hrkt","コジョウマチ"
"古多良木","en","Furutaragi"
"古多良木","ja","古多良木"
"古多良木","ja-Hrkt","フルタラギ"
"古宮","en","Furumiya"
"古宮","ja","古宮"
"古宮","ja-Hrkt","フルミヤ"
"古屋敷局前","en","Furuyashikikyoku Mae"
"古屋敷局前","ja","古屋敷局前"
"古屋敷局前","ja-Hrkt","フルヤシキキョクマエ"
"古屋敷（岩奥）","en","Furuyashiki(Iwaoku)"
"古屋敷（岩奥）","ja","古屋敷（岩奥）"
"古屋敷（岩奥）","ja-Hrkt","フルヤシキ(イワオク)"
"古屋敷（水上）","en","Fruyashiki"
"古屋敷（水上）","ja","古屋敷（水上）"
"古屋敷（水上）","ja-Hrkt","フルヤシキ"
"古川","en","Furukou"
"古川","ja","古川"
"古川","ja-Hrkt","フルコウ"
"古川（古屋敷）","en","Furuko"
"古川（古屋敷）","ja","古川（古屋敷）"
"古川（古屋敷）","ja-Hrkt","フルコウ"
"古庄原公民館前","en","Furushobaru Kominkan Mae"
"古庄原公民館前","ja","古庄原公民館前"
"古庄原公民館前","ja-Hrkt","フルショウバルコウミンカンマエ"
"古新地","en","Kojinchi"
"古新地","ja","古新地"
"古新地","ja-Hrkt","コジンチ"
"古氷団地入口","en","Furugori Danchi Iriguchi"
"古氷団地入口","ja","古氷団地入口"
"古氷団地入口","ja-Hrkt","フルゴオリダンチイリグチ"
"古江","en","Furue"
"古江","ja","古江"
"古江","ja-Hrkt","フルエ"
"古江（栖本）","en","Furue"
"古江（栖本）","ja","古江（栖本）"
"古江（栖本）","ja-Hrkt","フルエ"
"古町（木上）","en","Furumachi(Kinoue)"
"古町（木上）","ja","古町（木上）"
"古町（木上）","ja-Hrkt","フルマチ(キノウエ)"
"古町（熊本）","en","Furumachi"
"古町（熊本）","ja","古町（熊本）"
"古町（熊本）","ja-Hrkt","フルマチ"
"古神西","en","Kokami Nishi"
"古神西","ja","古神西"
"古神西","ja-Hrkt","コカミニシ"
"古賀原","en","Kogabaru"
"古賀原","ja","古賀原"
"古賀原","ja-Hrkt","コガバル"
"古賀町","en","T.B.D."
"古賀町","ja","古賀町"
"古賀町","ja-Hrkt","コガマチ"
"古里","en","Furusato"
"古里","ja","古里"
"古里","ja-Hrkt","フルサト"
"古野","en","Furuno"
"古野","ja","古野"
"古野","ja-Hrkt","フルノ"
"古閑上町","en","Kogagamimachi"
"古閑上町","ja","古閑上町"
"古閑上町","ja-Hrkt","コガカミマチ"
"古閑中入口","en","Koganaka Iriguchi"
"古閑中入口","ja","古閑中入口"
"古閑中入口","ja-Hrkt","コガナカイリグチ"
"古閑中町","en","Koganakamachi"
"古閑中町","ja","古閑中町"
"古閑中町","ja-Hrkt","コガナカマチ"
"古閑入口（一般道）","en","Koga Iriguchi"
"古閑入口（一般道）","ja","古閑入口（一般道）"
"古閑入口（一般道）","ja-Hrkt","コガイリグチ"
"古閑入口（県道）","en","Koga Iriguchi"
"古閑入口（県道）","ja","古閑入口（県道）"
"古閑入口（県道）","ja-Hrkt","コガイリグチ"
"古閑入江","en","Kogairie"
"古閑入江","ja","古閑入江"
"古閑入江","ja-Hrkt","コガイリエ"
"古閑出","en","Kogade"
"古閑出","ja","古閑出"
"古閑出","ja-Hrkt","コガデ"
"古閑北","en","Koga Kita"
"古閑北","ja","古閑北"
"古閑北","ja-Hrkt","コガキタ"
"古閑南","en","Koga Minami"
"古閑南","ja","古閑南"
"古閑南","ja-Hrkt","コガミナミ"
"古閑原入口","en","Kogabaru Iriguchi"
"古閑原入口","ja","古閑原入口"
"古閑原入口","ja-Hrkt","コガバルイリグチ"
"古閑小屋","en","Koga Goya"
"古閑小屋","ja","古閑小屋"
"古閑小屋","ja-Hrkt","コガゴヤ"
"古閑鶴","en","Kogazuru"
"古閑鶴","ja","古閑鶴"
"古閑鶴","ja-Hrkt","コガヅル"
"古閑（和泉）","en","Koga(Izumi)"
"古閑（和泉）","ja","古閑（和泉）"
"古閑（和泉）","ja-Hrkt","コガ(イズミ)"
"古閑（国丁）","en","Koga(Kokucho)"
"古閑（国丁）","ja","古閑（国丁）"
"古閑（国丁）","ja-Hrkt","コガ(コクチョウ)"
"古閑（大津）","en","Koga(Ozu)"
"古閑（大津）","ja","古閑（大津）"
"古閑（大津）","ja-Hrkt","コガ(オオヅ)"
"古閑（山鹿）","en","Koga(Yamaga)"
"古閑（山鹿）","ja","古閑（山鹿）"
"古閑（山鹿）","ja-Hrkt","コガ(ヤマガ)"
"古閑（日赤線）","en","Koga"
"古閑（日赤線）","ja","古閑（日赤線）"
"古閑（日赤線）","ja-Hrkt","コガ"
"合同新聞社前","en","Godoshimbunsha Mae"
"合同新聞社前","ja","合同新聞社前"
"合同新聞社前","ja-Hrkt","ゴウドウシンブンシャマエ"
"合志中前","en","Koshichu Mae"
"合志中前","ja","合志中前"
"合志中前","ja-Hrkt","コウシチュウマエ"
"合志中学校前","en","Koushi Chugakkou Mae"
"合志中学校前","ja","合志中学校前"
"合志中学校前","ja-Hrkt","コウシチュウガッコウマエ"
"合志南小前","en","Koshi Minamisho Mae"
"合志南小前","ja","合志南小前"
"合志南小前","ja-Hrkt","コウシミナミショウマエ"
"合志小前","en","Koshisyo Mae"
"合志小前","ja","合志小前"
"合志小前","ja-Hrkt","コウシショウマエ"
"合志市役所前","en","Koushi Shiyakusho Mae"
"合志市役所前","ja","合志市役所前"
"合志市役所前","ja-Hrkt","コウシシヤクショマエ"
"合志市役所（ヴィーブル）","en","Koshi Shiyakusyo Vivre"
"合志市役所（ヴィーブル）","ja","合志市役所（ヴィーブル）"
"合志市役所（ヴィーブル）","ja-Hrkt","コウシシヤクショヴィーブル"
"合志町（川尻市道）","en","Goshimachi"
"合志町（川尻市道）","ja","合志町（川尻市道）"
"合志町（川尻市道）","ja-Hrkt","ゴウシマチ"
"合歓の平","en","Kokannohira"
"合歓の平","ja","合歓の平"
"合歓の平","ja-Hrkt","コウカンノヒラ"
"合津中央","en","Aitsu Chuo"
"合津中央","ja","合津中央"
"合津中央","ja-Hrkt","アイツチュウオウ"
"合津港前","en","Aituko Mae"
"合津港前","ja","合津港前"
"合津港前","ja-Hrkt","アイツコウマエ"
"吉井","en","Yoshii"
"吉井","ja","吉井"
"吉井","ja-Hrkt","ヨシイ"
"吉原公民館前","en","Yoshihara Kouminkan Mae"
"吉原公民館前","ja","吉原公民館前"
"吉原公民館前","ja-Hrkt","ヨシハラコウミンカンマエ"
"吉松小学校前","en","Yoshimatsu Shogakko Mae"
"吉松小学校前","ja","吉松小学校前"
"吉松小学校前","ja-Hrkt","ヨシマツショウガッコウマエ"
"吉田新町","en","Yoshida Shinmachi"
"吉田新町","ja","吉田新町"
"吉田新町","ja-Hrkt","ヨシダシンマチ"
"吉田登山線入口","en","Yoshida Tozansen Iriguchi"
"吉田登山線入口","ja","吉田登山線入口"
"吉田登山線入口","ja-Hrkt","ヨシダトザンセンイリグチ"
"吉祥寺入口","en","Kichijoji Iriguchi(Kichijoji Temple)"
"吉祥寺入口","ja","吉祥寺入口"
"吉祥寺入口","ja-Hrkt","キチジョウジイリグチ"
"吉花","en","Yoshihana"
"吉花","ja","吉花"
"吉花","ja-Hrkt","ヨシハナ"
"吉見神社前","en","Yoshimi Jinja Mae"
"吉見神社前","ja","吉見神社前"
"吉見神社前","ja-Hrkt","ヨシミジンジャマエ"
"吉野尾","en","Yoshino"
"吉野尾","ja","吉野尾"
"吉野尾","ja-Hrkt","ヨシノオ"
"吉野（八代）","en","Yoshino"
"吉野（八代）","ja","吉野（八代）"
"吉野（八代）","ja-Hrkt","ヨシノ"
"吉野（熊本）","en","Yoshino"
"吉野（熊本）","ja","吉野（熊本）"
"吉野（熊本）","ja-Hrkt","ヨシノ"
"名塚入口","en","Nazuka Iriguchi"
"名塚入口","ja","名塚入口"
"名塚入口","ja-Hrkt","ナヅカイリグチ"
"名鉄バスセンター","en","Meitetsubuscenter"
"名鉄バスセンター","ja","名鉄バスセンター"
"名鉄バスセンター","ja-Hrkt","メイテツバスセンター"
"名鉄車庫","en","Meitetsu Shako"
"名鉄車庫","ja","名鉄車庫"
"名鉄車庫","ja-Hrkt","メイテツシャコ"
"吐","en","Haki"
"吐","ja","吐"
"吐","ja-Hrkt","ハキ"
"向一部","en","Mukoichibu"
"向一部","ja","向一部"
"向一部","ja-Hrkt","ムコウイチブ"
"向坂","en","Mukozaka"
"向坂","ja","向坂"
"向坂","ja-Hrkt","ムコウザカ"
"向山校前","en","Kozanko Mae"
"向山校前","ja","向山校前"
"向山校前","ja-Hrkt","コウザンコウマエ"
"向津留","en","Mukozuru"
"向津留","ja","向津留"
"向津留","ja-Hrkt","ムコウヅル"
"向淋","en","Mukososogi"
"向淋","ja","向淋"
"向淋","ja-Hrkt","ムコウソソギ"
"向町","en","Mukaimachi"
"向町","ja","向町"
"向町","ja-Hrkt","ムカイマチ"
"向道","en","Mukomichi"
"向道","ja","向道"
"向道","ja-Hrkt","ムコウミチ"
"向陽台（荒尾）","en","Koyodai"
"向陽台（荒尾）","ja","向陽台（荒尾）"
"向陽台（荒尾）","ja-Hrkt","コウヨウダイ"
"向陽台（菊陽）","en","Koyodai"
"向陽台（菊陽）","ja","向陽台（菊陽）"
"向陽台（菊陽）","ja-Hrkt","コウヨウダイ"
"君ヶ淵駐車場","en","Kimigafuchi Chushajo"
"君ヶ淵駐車場","ja","君ヶ淵駐車場"
"君ヶ淵駐車場","ja-Hrkt","キミガフチチュウシャジョウ"
"君ヶ淵（国道）","en","Kimigafuchi(Natinal Route)"
"君ヶ淵（国道）","ja","君ヶ淵（国道）"
"君ヶ淵（国道）","ja-Hrkt","キミガフチ"
"君ヶ淵（県道）","en","Kimigafuchi(Prefectual Route)"
"君ヶ淵（県道）","ja","君ヶ淵（県道）"
"君ヶ淵（県道）","ja-Hrkt","キミガフチ"
"吹田","en","Fukeda"
"吹田","ja","吹田"
"吹田","ja-Hrkt","フケダ"
"吹田団地","en","Fukeda Danchi"
"吹田団地","ja","吹田団地"
"吹田団地","ja-Hrkt","フケダダンチ"
"吹田団地入口","en","Fukeda Danchi Iriguchi"
"吹田団地入口","ja","吹田団地入口"
"吹田団地入口","ja-Hrkt","フケダダンチイリグチ"
"吹田第一","en","Fukeda Daiichi"
"吹田第一","ja","吹田第一"
"吹田第一","ja-Hrkt","フケダダイイチ"
"吹田第二","en","Fukeda Daini"
"吹田第二","ja","吹田第二"
"吹田第二","ja-Hrkt","フケダダイニ"
"吹野","en","Fukino"
"吹野","ja","吹野"
"吹野","ja-Hrkt","フキノ"
"呉服町（熊本市）","en","Gofukumachi"
"呉服町（熊本市）","ja","呉服町（熊本市）"
"呉服町（熊本市）","ja-Hrkt","ゴフクマチ"
"呉服町（福岡）","en","Gofukumachi"
"呉服町（福岡）","ja","呉服町（福岡）"
"呉服町（福岡）","ja-Hrkt","ゴフクマチ"
"呑崎","en","Nomizaki"
"呑崎","ja","呑崎"
"呑崎","ja-Hrkt","ノミザキ"
"味取","en","Mitori"
"味取","ja","味取"
"味取","ja-Hrkt","ミトリ"
"味噌天神（白山通り）","en","Misotenjin"
"味噌天神（白山通り）","ja","味噌天神（白山通り）"
"味噌天神（白山通り）","ja-Hrkt","ミソテンジンマエ"
"味噌天神（電車通り）","en","Misotenjin"
"味噌天神（電車通り）","ja","味噌天神（電車通り）"
"味噌天神（電車通り）","ja-Hrkt","ミソテンジンマエ"
"味鳥","en","Midori"
"味鳥","ja","味鳥"
"味鳥","ja-Hrkt","ミドリ"
"和小路","en","Washoji"
"和小路","ja","和小路"
"和小路","ja-Hrkt","ワショウジ"
"和水町立病院前","en","Nagomi Choritsu Byoin Mae(Nagomi Choritsu Hospital)"
"和水町立病院前","ja","和水町立病院前"
"和水町立病院前","ja-Hrkt","ナゴミチョウリツビョウインマエ"
"和泉","en","Izumi"
"和泉","ja","和泉"
"和泉","ja-Hrkt","イズミ"
"和田内入口","en","Watauchi Iriguchi"
"和田内入口","ja","和田内入口"
"和田内入口","ja-Hrkt","ワタウチイリグチ"
"和田（天草）","en","Wada"
"和田（天草）","ja","和田（天草）"
"和田（天草）","ja-Hrkt","ワダ"
"和田（松合）","en","Wada(Matsuai)"
"和田（松合）","ja","和田（松合）"
"和田（松合）","ja-Hrkt","ワダ(マツアイ)"
"和田（黒川）","en","Wada(Kurokawa)"
"和田（黒川）","ja","和田（黒川）"
"和田（黒川）","ja-Hrkt","ワダ(クロカワ)"
"咲山","en","Sakiyama"
"咲山","ja","咲山"
"咲山","ja-Hrkt","サキヤマ"
"唐笠松","en","Karakasamatsu"
"唐笠松","ja","唐笠松"
"唐笠松","ja-Hrkt","カラカサマツ"
"商工会前（天草）","en","Shokokai Mae"
"商工会前（天草）","ja","商工会前（天草）"
"商工会前（天草）","ja-Hrkt","ショウコウカイマエ"
"商工会議所前（天草）","en","Shoko Kaigisho Mae"
"商工会議所前（天草）","ja","商工会議所前（天草）"
"商工会議所前（天草）","ja-Hrkt","ショウコウカイギショマエ"
"商工会議所前（熊本）","en","Shoukou Kaigisho Mae"
"商工会議所前（熊本）","ja","商工会議所前（熊本）"
"商工会議所前（熊本）","ja-Hrkt","ショウコウカイギショマエ"
"商工会館前（上天草）","en","Shoukou Kaikan Mae"
"商工会館前（上天草）","ja","商工会館前（上天草）"
"商工会館前（上天草）","ja-Hrkt","ショウコウカイカンマエ"
"嘉島町役場前","en","Kashima Machiyakuba Mae"
"嘉島町役場前","ja","嘉島町役場前"
"嘉島町役場前","ja-Hrkt","カシママチヤクバマエ"
"四つ角","en","Yotsukado"
"四つ角","ja","四つ角"
"四つ角","ja-Hrkt","ヨツカド"
"四ツ山","en","Yotsuyama"
"四ツ山","ja","四ツ山"
"四ツ山","ja-Hrkt","ヨツヤマ"
"四丁","en","Shicho"
"四丁","ja","四丁"
"四丁","ja-Hrkt","シチョウ"
"四分一","en","Shibuichi"
"四分一","ja","四分一"
"四分一","ja-Hrkt","シブイチ"
"四季の森温泉","en","Shikinomori Onsen"
"四季の森温泉","ja","四季の森温泉"
"四季の森温泉","ja-Hrkt","シキノモリオンセン"
"四山下区","en","Yotsuyamashimoku"
"四山下区","ja","四山下区"
"四山下区","ja-Hrkt","ヨツヤマシモク"
"四山中区","en","Yotsuyamanakaku"
"四山中区","ja","四山中区"
"四山中区","ja-Hrkt","ヨツヤマナカク"
"四方寄","en","Yomogi"
"四方寄","ja","四方寄"
"四方寄","ja-Hrkt","ヨモギ"
"四方寄駐車場","en","Yomogi Tyuushajou"
"四方寄駐車場","ja","四方寄駐車場"
"四方寄駐車場","ja-Hrkt","ヨモギチュウシャジョウ"
"四方池","en","Yomochi"
"四方池","ja","四方池"
"四方池","ja-Hrkt","ヨモチ"
"四王子橋","en","Shioji Bashi"
"四王子橋","ja","四王子橋"
"四王子橋","ja-Hrkt","シオウジバシ"
"四番橋","en","Yoban Bashi"
"四番橋","ja","四番橋"
"四番橋","ja-Hrkt","ヨバンバシ"
"四郎丸","en","Shiromaru"
